fg100,fg136,fg168,fg210,fg236,fg255,fg267,fg317,fg348,fg415,fg479,fg550,HB3
0.079581362,0.420715325,0.21675309,0.024982572,0.389427107,0.252551635,0.185677175,0.150824685,0.147070988,0.350487628,0.056671644,0.708685116,70
0.046281142,0.545976786,0.183846222,0.015329269,0.361401231,0.244932186,0.16613631,0.177870472,0.185622441,0.298035972,0.03899913,0.817304064,67
0.115216683,0.299455236,0.296726606,0.023752581,0.345916703,0.292600251,0.205298266,0.106044188,0.207799182,0.348972456,0.08264259,0.813014641,67
0.101801434,0.210887373,0.359147391,0.019784446,0.272703412,0.313896435,0.185515338,0.099888773,0.235145684,0.325139323,0.086515674,0.83028013,51
0.175404806,0.157799516,0.338302594,0.032202856,0.232953023,0.259359211,0.222384111,0.103877317,0.239060095,0.28991743,0.131251362,0.782625518,47
0.327407167,0.237203123,0.223919212,0.057548845,0.299636446,0.186546639,0.326702798,0.150652446,0.178010834,0.31172637,0.189836666,0.662678164,57.58522913
0.158015166,0.257402873,0.266090651,0.032628808,0.271917259,0.236883906,0.218848553,0.098331605,0.179964679,0.288529975,0.119359295,0.731484207,50.78643077
0.172989119,0.114148757,0.322454002,0.029986416,0.203743534,0.251828227,0.22177607,0.088927247,0.221606541,0.259271821,0.13313271,0.770474515,44.58244059
0.309155493,0.075638137,0.286229169,0.067093006,0.129203574,0.202568394,0.314574014,0.0899874,0.241088854,0.209591759,0.220995912,0.663377623,34.52702786
0.383861963,0.047265195,0.240065329,0.092998011,0.086768027,0.161778118,0.366789455,0.089025851,0.247273703,0.18586578,0.269928086,0.547413092,25.88786484
0.552980234,0.036354204,0.058224415,0.141450289,0.04564691,0,0.457542457,0.113797535,0.221942255,0.135393159,0.359766349,0.182233209,17.6
0.555375567,0.056048543,0.060895369,0.136715706,0.055934253,0.02461103,0.450652507,0.114611973,0.237623001,0.154288719,0.358893901,0.226626127,19.3
0.587614134,0.036485637,0.058530244,0.121554542,0.038844562,0,0.484016274,0.122876084,0.242384149,0.099062516,0.373785427,0.16871175,18.6
0.499302289,0.113487573,0.142595165,0.127795176,0.195466947,0.102100693,0.459892035,0.153632163,0.231802699,0.264909762,0.317544842,0.429260935,37.7
0.523235044,0.106818243,0.131993026,0.108793622,0.155299857,0.096537067,0.474268617,0.143156093,0.244083413,0.222797751,0.314407856,0.426513207,37.9
0.366644691,0.110363617,0.195695704,0.090968182,0.183815736,0.128779315,0.347150448,0.116011572,0.200757461,0.279066661,0.226782762,0.528523321,36.4
0.434698772,0.103584914,0.184709782,0.09390135,0.163201848,0.121351957,0.398634749,0.117718488,0.228465779,0.247094026,0.279929972,0.522275421,35.1
0.431469862,0.098594777,0.19372684,0.089058805,0.133367706,0.123515886,0.399613992,0.108366874,0.240112869,0.230721869,0.279975379,0.534585521,31.6
0.306990395,0.146406501,0.258669318,0.081124392,0.296612847,0.169806878,0.327474304,0.138574876,0.192699974,0.357492471,0.19664743,0.631255787,51.7
0.289628846,0.14406751,0.264985996,0.058573494,0.258253613,0.175118494,0.298406148,0.133755684,0.180654196,0.323375479,0.168796984,0.671877647,49.5
0.407948687,0.134793493,0.247617672,0.061204358,0.221803125,0.153760544,0.370696952,0.131721007,0.228991304,0.279915191,0.245625768,0.662777447,45.9
0.289041577,0.127243788,0.274239041,0.053375325,0.186929898,0.184094294,0.28996544,0.101259032,0.211143728,0.266208008,0.175093744,0.689992661,39.9
0.33274455,0.129604229,0.249995578,0.05769725,0.202658378,0.167416579,0.316516339,0.112946689,0.208585471,0.26982685,0.202880486,0.660954612,41.9
0.540481601,0.059568161,0.03942895,0.14246759,0.07087246,0,0.440808112,0.117544753,0.212023451,0.137703681,0.344726242,0.16132793,16.8
0.530138346,0.042818243,0.056003406,0.142832719,0.060478934,0,0.432741401,0.112734157,0.212473269,0.152386042,0.343580685,0.195157777,17.2
