,fg100,fg136,fg168,fg210,fg236,fg255,fg267,fg317,fg348,fg415,fg479,fg550,PHA,HB4,HB3
x1,0.520760651,0.006825237,0.021097475,0.1949026,0.026333117,0.000255861,0.451219979,0.090377711,0.196952328,0.165085862,0.350931311,0,5.57,,
x2,0.633732354,0.015343994,0.024176178,0.154561983,0.035165402,0,0.486235036,0.101040648,0.238848787,0.100312868,0.394161444,0.036484163,9.93,,
x3,0.582537088,0.040848739,0.056495368,0.134298052,0.05982425,0,0.487533194,0.127499906,0.234508621,0.142400087,0.375171694,0.148495553,20.7,,
x4,0.598483223,0.097030574,0.092245129,0.126294877,0.147711343,0.0541257,0.494716258,0.149402194,0.229413202,0.216341991,0.331725255,0.289088431,36.21,,
x5,0.309185591,0.156033458,0.206131122,0.100769871,0.284319111,0.176695556,0.325130047,0.149238319,0.160268574,0.334116085,0.197932019,0.524799231,45.17,,
x6,0.496584883,0.163117195,0.214832068,0.104488117,0.285449672,0.150070578,0.473779751,0.182696168,0.234770985,0.332014734,0.291495822,0.5494015,53.66,,
x7,0.412244482,0.156920273,0.230363581,0.081089939,0.30311643,0.160569485,0.41904201,0.188672212,0.199973789,0.340048167,0.241036265,0.647178707,57.78,,
,0.552980234,0.036354204,0.058224415,0.141450289,0.04564691,0,0.457542457,0.113797535,0.221942255,0.135393159,0.359766349,0.182233209,24.2,6.6,17.6
,0.555375567,0.056048543,0.060895369,0.136715706,0.055934253,0.02461103,0.450652507,0.114611973,0.237623001,0.154288719,0.358893901,0.226626127,28,8.7,19.3
,0.587614134,0.036485637,0.058530244,0.121554542,0.038844562,0,0.484016274,0.122876084,0.242384149,0.099062516,0.373785427,0.16871175,28.2,9.6,18.6
,0.499302289,0.113487573,0.142595165,0.127795176,0.195466947,0.102100693,0.459892035,0.153632163,0.231802699,0.264909762,0.317544842,0.429260935,41.7,4,37.7
,0.523235044,0.106818243,0.131993026,0.108793622,0.155299857,0.096537067,0.474268617,0.143156093,0.244083413,0.222797751,0.314407856,0.426513207,46.4,8.5,37.9
,0.366644691,0.110363617,0.195695704,0.090968182,0.183815736,0.128779315,0.347150448,0.116011572,0.200757461,0.279066661,0.226782762,0.528523321,48.2,11.8,36.4
,0.434698772,0.103584914,0.184709782,0.09390135,0.163201848,0.121351957,0.398634749,0.117718488,0.228465779,0.247094026,0.279929972,0.522275421,49.7,14.6,35.1
,0.431469862,0.098594777,0.19372684,0.089058805,0.133367706,0.123515886,0.399613992,0.108366874,0.240112869,0.230721869,0.279975379,0.534585521,48.5,16.9,31.6
,0.306990395,0.146406501,0.258669318,0.081124392,0.296612847,0.169806878,0.327474304,0.138574876,0.192699974,0.357492471,0.19664743,0.631255787,56.1,4.4,51.7
,0.289628846,0.14406751,0.264985996,0.058573494,0.258253613,0.175118494,0.298406148,0.133755684,0.180654196,0.323375479,0.168796984,0.671877647,59.6,10.1,49.5
,0.407948687,0.134793493,0.247617672,0.061204358,0.221803125,0.153760544,0.370696952,0.131721007,0.228991304,0.279915191,0.245625768,0.662777447,60.5,14.6,45.9
,0.289041577,0.127243788,0.274239041,0.053375325,0.186929898,0.184094294,0.28996544,0.101259032,0.211143728,0.266208008,0.175093744,0.689992661,58.8,18.9,39.9
,0.33274455,0.129604229,0.249995578,0.05769725,0.202658378,0.167416579,0.316516339,0.112946689,0.208585471,0.26982685,0.202880486,0.660954612,58.5,16.6,41.9
,0.540481601,0.059568161,0.03942895,0.14246759,0.07087246,0,0.440808112,0.117544753,0.212023451,0.137703681,0.344726242,0.16132793,19.5,2.7,16.8
,0.530138346,0.042818243,0.056003406,0.142832719,0.060478934,0,0.432741401,0.112734157,0.212473269,0.152386042,0.343580685,0.195157777,22,4.8,17.2
